epoch	tr_loss	v_ppl
0	5.5083	200.3309	Best at epoch 0
1	4.5550	144.9242	Best at epoch 1
2	4.3611	218.9898	Best at epoch 1
3	4.2572	146.9013	Best at epoch 1
4	4.2035	124.2908	Best at epoch 4
5	4.1712	111.7481	Best at epoch 5
6	4.1422	124.9270	Best at epoch 5
7	4.1178	113.8769	Best at epoch 5
8	4.1007	163.7414	Best at epoch 5
9	4.0829	99.1295	Best at epoch 9
10	4.0606	96.5800	Best at epoch 10
11	4.0482	93.5741	Best at epoch 11
12	4.0398	93.1590	Best at epoch 12
13	4.0276	103.6696	Best at epoch 12
14	4.0159	97.7893	Best at epoch 12
15	4.0077	95.8581	Best at epoch 12
16	3.9994	108.0421	Best at epoch 12
17	3.9920	85.3417	Best at epoch 17
18	3.9838	84.0930	Best at epoch 18
19	3.9771	104.8749	Best at epoch 18
