epoch	tr_loss	v_ppl
0	7.5936	197.0864	Best at epoch 0
1	4.6677	137.2016	Best at epoch 1
2	4.4879	121.5146	Best at epoch 2
3	4.4071	115.4790	Best at epoch 3
4	4.3771	113.4427	Best at epoch 4
5	4.3549	111.5528	Best at epoch 5
6	4.3394	109.9221	Best at epoch 6
7	4.3319	108.3911	Best at epoch 7
8	4.3187	107.9962	Best at epoch 8
9	4.3346	111.6704	Best at epoch 8
10	4.3588	109.0619	Best at epoch 8
11	4.3457	106.5695	Best at epoch 11
12	4.3352	106.2363	Best at epoch 12
13	4.3321	104.9925	Best at epoch 13
14	4.3255	104.8200	Best at epoch 14
15	4.3220	105.0320	Best at epoch 14
16	4.3178	104.4972	Best at epoch 16
17	4.3151	105.1624	Best at epoch 16
18	4.3121	103.8337	Best at epoch 18
19	4.3097	103.9535	Best at epoch 18
20	4.3086	103.7762	Best at epoch 20
21	4.3078	103.8677	Best at epoch 20
22	4.3075	104.0001	Best at epoch 20
23	4.3071	104.3136	Best at epoch 20
24	4.3062	104.1448	Best at epoch 20
25	4.3049	104.1118	Best at epoch 20
26	4.3039	104.2061	Best at epoch 20
27	4.3040	103.4244	Best at epoch 27
28	4.3036	103.7479	Best at epoch 27
29	4.3028	103.7159	Best at epoch 27
30	4.3033	103.2553	Best at epoch 30
31	4.3029	103.6297	Best at epoch 30
32	4.3027	103.5614	Best at epoch 30
33	4.3022	104.3234	Best at epoch 30
34	4.3030	103.8601	Best at epoch 30
35	4.3027	103.3834	Best at epoch 30
36	4.3022	103.8751	Best at epoch 30
37	4.3022	104.7749	Best at epoch 30
38	4.3017	103.5020	Best at epoch 30
39	4.3023	103.9640	Best at epoch 30
40	4.3012	105.0090	Best at epoch 30
41	4.3014	105.1259	Best at epoch 30
42	4.3011	103.8187	Best at epoch 30
43	4.3008	104.1094	Best at epoch 30
44	4.3004	104.9617	Best at epoch 30
45	4.3012	103.8437	Best at epoch 30
46	4.3007	104.1172	Best at epoch 30
47	4.3007	103.3573	Best at epoch 30
48	4.3003	104.3037	Best at epoch 30
49	4.2994	103.9348	Best at epoch 30
50	4.2993	105.1477	Best at epoch 30
51	4.2993	103.8332	Best at epoch 30
52	4.3006	104.7256	Best at epoch 30
53	4.2996	104.7636	Best at epoch 30
54	4.2998	104.4956	Best at epoch 30
55	4.2994	103.7375	Best at epoch 30
56	4.3010	103.9098	Best at epoch 30
57	4.2994	103.8840	Best at epoch 30
58	4.3002	104.4030	Best at epoch 30
59	4.3006	105.0387	Best at epoch 30
60	4.3007	103.9531	Best at epoch 30
61	4.3008	105.5503	Best at epoch 30
62	4.2999	103.7012	Best at epoch 30
63	4.2999	106.0175	Best at epoch 30
64	4.3003	105.8655	Best at epoch 30
65	4.2994	104.1015	Best at epoch 30
66	4.2998	104.8922	Best at epoch 30
67	4.2999	104.5740	Best at epoch 30
68	4.2989	104.8548	Best at epoch 30
69	4.3010	104.7789	Best at epoch 30
70	4.3003	103.8808	Best at epoch 30
71	4.2995	106.5163	Best at epoch 30
72	4.3002	104.2427	Best at epoch 30
73	4.3002	104.6981	Best at epoch 30
74	4.3013	104.7946	Best at epoch 30
75	4.2995	105.5828	Best at epoch 30
76	4.3005	104.1791	Best at epoch 30
77	4.3000	104.7914	Best at epoch 30
78	4.3002	104.3390	Best at epoch 30
79	4.3006	104.4666	Best at epoch 30
80	4.3006	104.1379	Best at epoch 30
81	4.3004	105.2269	Best at epoch 30
82	4.3006	104.5450	Best at epoch 30
83	4.3002	105.4749	Best at epoch 30
84	4.2997	104.5286	Best at epoch 30
85	4.3005	104.9779	Best at epoch 30
86	4.3002	106.0893	Best at epoch 30
87	4.3007	106.6240	Best at epoch 30
88	4.3007	104.7779	Best at epoch 30
89	4.3006	104.7354	Best at epoch 30
90	4.3012	105.7884	Best at epoch 30
91	4.3011	105.1165	Best at epoch 30
92	4.3019	104.7230	Best at epoch 30
93	4.3003	104.9268	Best at epoch 30
94	4.3001	105.2284	Best at epoch 30
95	4.3012	104.5392	Best at epoch 30
96	4.3011	104.7272	Best at epoch 30
97	4.3015	105.1156	Best at epoch 30
98	4.3012	104.8777	Best at epoch 30
99	4.3019	104.8351	Best at epoch 30
