epoch	tr_loss	v_ppl
0	9.7895	4316.4647	Best at epoch 0
1	4.6734	1473.4885	Best at epoch 1
2	4.2983	1111.5196	Best at epoch 2
3	4.1012	468.9626	Best at epoch 3
4	3.9716	199.2323	Best at epoch 4
5	3.8713	360.5501	Best at epoch 4
6	3.8089	150.5117	Best at epoch 6
7	3.7536	132.6071	Best at epoch 7
8	3.7162	165.0462	Best at epoch 7
9	3.6920	85.9482	Best at epoch 9
10	3.6550	82.3796	Best at epoch 10
11	3.6266	164.2184	Best at epoch 10
12	3.6101	184.4445	Best at epoch 10
13	3.5910	116.9212	Best at epoch 10
14	3.5737	129.1733	Best at epoch 10
15	3.5614	77.5501	Best at epoch 15
16	3.5434	101.0554	Best at epoch 15
