epoch	tr_loss	v_ppl
0	5.1379	83.2899	Best at epoch 0
1	3.9563	67.4379	Best at epoch 1
2	3.8577	63.8743	Best at epoch 2
3	3.8212	62.2145	Best at epoch 3
4	3.8011	60.9912	Best at epoch 4
5	3.7838	60.0199	Best at epoch 5
6	3.7683	59.6050	Best at epoch 6
7	3.7581	59.7080	Best at epoch 6
8	3.7503	58.6268	Best at epoch 8
9	3.7433	58.5202	Best at epoch 9
10	3.7446	58.4502	Best at epoch 10
11	3.7553	60.4346	Best at epoch 10
12	3.7594	59.3299	Best at epoch 10
13	3.7580	59.6844	Best at epoch 10
14	3.7548	59.1725	Best at epoch 10
15	3.7536	58.7317	Best at epoch 10
16	3.7564	59.7998	Best at epoch 10
17	11.9387	272288.4446	Best at epoch 10
18	47.8742	352749.2449	Best at epoch 10
19	15.0832	72212.1480	Best at epoch 10
20	8.6648	108.8921	Best at epoch 10
21	4.2674	90.9046	Best at epoch 10
22	4.1139	78.9220	Best at epoch 10
23	4.0691	77.6047	Best at epoch 10
24	4.0479	77.5519	Best at epoch 10
25	4.0252	77.7127	Best at epoch 10
26	4.0117	76.8180	Best at epoch 10
27	3.9900	80.7657	Best at epoch 10
28	3.9781	74.9980	Best at epoch 10
29	3.9838	77.2837	Best at epoch 10
30	3.9743	74.0585	Best at epoch 10
31	3.9540	73.1466	Best at epoch 10
32	3.9452	72.7953	Best at epoch 10
33	3.9620	73.2050	Best at epoch 10
34	3.9552	72.5378	Best at epoch 10
35	3.9651	73.5762	Best at epoch 10
36	3.9631	78.8702	Best at epoch 10
37	3.9632	73.2307	Best at epoch 10
38	3.9681	72.9549	Best at epoch 10
39	3.9884	73.8601	Best at epoch 10
40	3.9879	74.9851	Best at epoch 10
41	3.9559	72.0023	Best at epoch 10
42	3.9648	73.4137	Best at epoch 10
43	3.9962	75.8748	Best at epoch 10
44	3.9940	77.6959	Best at epoch 10
45	3.9988	75.1221	Best at epoch 10
46	3.9832	74.4695	Best at epoch 10
47	3.9710	72.9125	Best at epoch 10
48	3.9873	75.6915	Best at epoch 10
49	4.0038	74.4165	Best at epoch 10
50	3.9929	74.1011	Best at epoch 10
51	3.9716	73.4913	Best at epoch 10
52	3.9876	75.0615	Best at epoch 10
53	3.9893	73.7470	Best at epoch 10
54	3.9881	77.4838	Best at epoch 10
55	3.9842	73.9850	Best at epoch 10
56	3.9815	74.0577	Best at epoch 10
57	3.9808	74.7986	Best at epoch 10
58	3.9766	74.4357	Best at epoch 10
59	3.9778	75.2007	Best at epoch 10
60	3.9719	73.9253	Best at epoch 10
61	3.9785	74.4880	Best at epoch 10
62	3.9803	75.5676	Best at epoch 10
63	3.9878	76.2667	Best at epoch 10
64	3.9767	75.2196	Best at epoch 10
65	3.9791	74.4990	Best at epoch 10
66	3.9761	74.5904	Best at epoch 10
67	3.9780	75.5145	Best at epoch 10
68	3.9765	76.7635	Best at epoch 10
69	3.9812	76.0732	Best at epoch 10
70	3.9834	75.9026	Best at epoch 10
71	3.9935	76.8774	Best at epoch 10
72	4.0006	77.9040	Best at epoch 10
73	4.0051	76.4611	Best at epoch 10
74	4.0012	77.1100	Best at epoch 10
75	4.0106	78.1376	Best at epoch 10
76	4.0068	77.4207	Best at epoch 10
77	4.0033	77.7390	Best at epoch 10
78	4.0047	82.3850	Best at epoch 10
79	4.0054	76.9316	Best at epoch 10
80	4.0057	77.6849	Best at epoch 10
81	3.9968	77.0033	Best at epoch 10
82	3.9970	78.0770	Best at epoch 10
83	3.9940	76.4180	Best at epoch 10
84	3.9965	79.6103	Best at epoch 10
85	3.9960	77.3401	Best at epoch 10
86	3.9954	77.6901	Best at epoch 10
87	3.9884	77.8686	Best at epoch 10
88	3.9881	76.8610	Best at epoch 10
89	3.9858	77.4771	Best at epoch 10
90	3.9891	78.5972	Best at epoch 10
91	3.9850	76.6204	Best at epoch 10
92	3.9841	77.5225	Best at epoch 10
93	3.9844	77.9809	Best at epoch 10
94	3.9841	77.4753	Best at epoch 10
95	3.9807	77.8907	Best at epoch 10
96	3.9828	77.5315	Best at epoch 10
97	3.9868	78.1843	Best at epoch 10
98	3.9857	78.0964	Best at epoch 10
99	3.9835	77.2602	Best at epoch 10
