epoch	tr_loss	v_ppl
0	6.1327	3832.4672	Best at epoch 0
1	5.2027	1487.5516	Best at epoch 1
2	4.9761	1740.7678	Best at epoch 1
3	4.8819	1997.1818	Best at epoch 1
4	4.8308	1459.9305	Best at epoch 4
5	4.7782	775.2761	Best at epoch 5
6	4.7132	605.4677	Best at epoch 6
7	4.6585	560.3301	Best at epoch 7
8	4.6028	934.1128	Best at epoch 7
9	4.5434	443.8584	Best at epoch 9
10	4.4968	295.8802	Best at epoch 10
11	4.4390	204.5904	Best at epoch 11
12	4.3855	413.4806	Best at epoch 11
13	4.3519	284.5750	Best at epoch 11
14	4.3156	215.0496	Best at epoch 11
15	4.3042	247.2125	Best at epoch 11
16	4.2794	345.0614	Best at epoch 11
17	4.2438	354.2392	Best at epoch 11
18	4.2134	222.8296	Best at epoch 11
19	4.1875	183.4345	Best at epoch 19
