epoch	loss	v_loss	|	v_ma_f1	v_mi_f1	v_pre	v_rec	|	t_ma_f1	t_mi_f1	t_pre	t_rec
0	3.1108	3.9362	|	0.0106	0.0529	0.0529	0.0529	|	0.0080	0.0507	0.0507	0.0507	|  Best result at epoch 0
1	2.5978	3.8736	|	0.0409	0.2165	0.2165	0.2165	|	0.0222	0.0688	0.0688	0.0688	|  Best result at epoch 1
2	2.3331	4.3072	|	0.0631	0.2239	0.2239	0.2239	|	0.0590	0.0998	0.0998	0.0998	|  Best result at epoch 2
3	2.1035	4.6354	|	0.0624	0.2614	0.2614	0.2614	|	0.0538	0.1281	0.1281	0.1281	|  Best result at epoch 3
4	1.8501	5.0553	|	0.0660	0.2405	0.2405	0.2405	|	0.0596	0.0998	0.0998	0.0998	|  Best result at epoch 3
5	1.6255	5.5934	|	0.0872	0.2341	0.2341	0.2341	|	0.0635	0.1190	0.1190	0.1190	|  Best result at epoch 3
6	1.3730	5.3503	|	0.1044	0.2549	0.2549	0.2549	|	0.0689	0.1105	0.1105	0.1105	|  Best result at epoch 3
7	1.1497	5.5816	|	0.0943	0.2352	0.2352	0.2352	|	0.0596	0.0907	0.0907	0.0907	|  Best result at epoch 3
8	0.9745	6.4926	|	0.0868	0.2197	0.2197	0.2197	|	0.0560	0.1083	0.1083	0.1083	|  Best result at epoch 3
9	0.8157	5.7519	|	0.0981	0.2448	0.2448	0.2448	|	0.0751	0.1067	0.1067	0.1067	|  Best result at epoch 3
10	0.7057	6.9481	|	0.0809	0.1860	0.1860	0.1860	|	0.0718	0.1003	0.1003	0.1003	|  Best result at epoch 3
11	0.5868	7.2888	|	0.0926	0.2250	0.2250	0.2250	|	0.0748	0.1025	0.1025	0.1025	|  Best result at epoch 3
12	0.4923	7.0032	|	0.0854	0.2346	0.2346	0.2346	|	0.0743	0.1179	0.1179	0.1179	|  Best result at epoch 3
13	0.4302	7.1420	|	0.0872	0.2400	0.2400	0.2400	|	0.0684	0.1275	0.1275	0.1275	|  Best result at epoch 3
14	0.5109	6.6652	|	0.0854	0.2464	0.2464	0.2464	|	0.0730	0.1089	0.1089	0.1089	|  Best result at epoch 3
15	0.4930	8.4972	|	0.0811	0.2138	0.2138	0.2138	|	0.0596	0.1083	0.1083	0.1083	|  Best result at epoch 3
16	0.4845	7.3526	|	0.0889	0.2282	0.2282	0.2282	|	0.0735	0.1089	0.1089	0.1089	|  Best result at epoch 3
17	0.4428	7.4431	|	0.0912	0.2346	0.2346	0.2346	|	0.0764	0.1126	0.1126	0.1126	|  Best result at epoch 3
18	0.3881	7.7194	|	0.1025	0.2464	0.2464	0.2464	|	0.0812	0.1169	0.1169	0.1169	|  Best result at epoch 3
19	0.4158	7.2991	|	0.0855	0.2229	0.2229	0.2229	|	0.0732	0.1094	0.1094	0.1094	|  Best result at epoch 3
20	0.3987	7.6882	|	0.0906	0.2469	0.2469	0.2469	|	0.0732	0.1227	0.1227	0.1227	|  Best result at epoch 3
21	0.3987	8.3186	|	0.0889	0.2229	0.2229	0.2229	|	0.0759	0.1115	0.1115	0.1115	|  Best result at epoch 3
22	0.3860	8.0478	|	0.0934	0.2384	0.2384	0.2384	|	0.0754	0.1195	0.1195	0.1195	|  Best result at epoch 3
23	0.3891	8.0354	|	0.0866	0.2068	0.2068	0.2068	|	0.0702	0.0891	0.0891	0.0891	|  Best result at epoch 3
24	0.3861	8.2676	|	0.0855	0.2272	0.2272	0.2272	|	0.0664	0.1121	0.1121	0.1121	|  Best result at epoch 3
25	0.3775	7.6068	|	0.0832	0.2330	0.2330	0.2330	|	0.0737	0.1222	0.1222	0.1222	|  Best result at epoch 3
26	0.3520	8.5896	|	0.0897	0.2175	0.2175	0.2175	|	0.0749	0.1094	0.1094	0.1094	|  Best result at epoch 3
27	0.3537	8.1180	|	0.0938	0.2154	0.2154	0.2154	|	0.0704	0.1025	0.1025	0.1025	|  Best result at epoch 3
