epoch	loss	v_loss	|	v_ma_f1	v_mi_f1	v_pre	v_rec	|	t_ma_f1	t_mi_f1	t_pre	t_rec
0	1.9937	2.6348	|	0.0651	0.2316	0.2316	0.2316	|	0.0626	0.2282	0.2282	0.2282	|  Best result at epoch 0
1	1.5780	3.1452	|	0.0751	0.2980	0.2980	0.2980	|	0.0594	0.2310	0.2310	0.2310	|  Best result at epoch 1
2	1.4532	2.6841	|	0.1316	0.3475	0.3475	0.3475	|	0.1079	0.2535	0.2535	0.2535	|  Best result at epoch 2
3	1.3238	2.4726	|	0.1278	0.3644	0.3644	0.3644	|	0.1113	0.2549	0.2549	0.2549	|  Best result at epoch 3
4	1.1910	2.9319	|	0.1282	0.3559	0.3559	0.3559	|	0.1016	0.2521	0.2521	0.2521	|  Best result at epoch 3
5	1.1029	2.3765	|	0.1638	0.3757	0.3757	0.3757	|	0.1157	0.2648	0.2648	0.2648	|  Best result at epoch 5
6	0.9854	3.5371	|	0.1337	0.3249	0.3249	0.3249	|	0.1065	0.2507	0.2507	0.2507	|  Best result at epoch 5
7	0.8575	2.7998	|	0.1824	0.3842	0.3842	0.3842	|	0.1314	0.2634	0.2634	0.2634	|  Best result at epoch 5
8	0.7322	2.7335	|	0.1870	0.3955	0.3955	0.3955	|	0.1321	0.2606	0.2606	0.2606	|  Best result at epoch 5
9	0.6100	3.6519	|	0.1730	0.3545	0.3545	0.3545	|	0.1334	0.2577	0.2577	0.2577	|  Best result at epoch 5
10	0.5621	3.7169	|	0.1797	0.3644	0.3644	0.3644	|	0.1332	0.2592	0.2592	0.2592	|  Best result at epoch 5
11	0.4459	4.9946	|	0.1526	0.3376	0.3376	0.3376	|	0.1191	0.2507	0.2507	0.2507	|  Best result at epoch 5
12	0.4198	4.0818	|	0.1798	0.3686	0.3686	0.3686	|	0.1348	0.2718	0.2718	0.2718	|  Best result at epoch 12
13	0.3311	3.9228	|	0.1880	0.3856	0.3856	0.3856	|	0.1461	0.2775	0.2775	0.2775	|  Best result at epoch 13
14	0.2741	4.7783	|	0.1688	0.3460	0.3460	0.3460	|	0.1088	0.2563	0.2563	0.2563	|  Best result at epoch 13
15	0.2427	3.7596	|	0.2070	0.3870	0.3870	0.3870	|	0.1473	0.2732	0.2732	0.2732	|  Best result at epoch 13
16	0.2199	4.0469	|	0.2135	0.3912	0.3912	0.3912	|	0.1331	0.2549	0.2549	0.2549	|  Best result at epoch 13
17	0.2015	4.7661	|	0.1676	0.3446	0.3446	0.3446	|	0.1172	0.2437	0.2437	0.2437	|  Best result at epoch 13
18	0.2037	5.6772	|	0.1644	0.3701	0.3701	0.3701	|	0.1170	0.2592	0.2592	0.2592	|  Best result at epoch 13
19	0.1599	5.1222	|	0.2079	0.3785	0.3785	0.3785	|	0.1306	0.2549	0.2549	0.2549	|  Best result at epoch 13
20	0.2030	5.0540	|	0.2067	0.3799	0.3799	0.3799	|	0.1500	0.2817	0.2817	0.2817	|  Best result at epoch 20
21	0.1319	5.1864	|	0.1831	0.3531	0.3531	0.3531	|	0.1442	0.2563	0.2563	0.2563	|  Best result at epoch 20
22	0.1473	5.9623	|	0.1783	0.3771	0.3771	0.3771	|	0.1410	0.2901	0.2901	0.2901	|  Best result at epoch 22
23	0.1164	5.8581	|	0.1854	0.3630	0.3630	0.3630	|	0.1253	0.2507	0.2507	0.2507	|  Best result at epoch 22
24	0.1624	5.2288	|	0.1910	0.3814	0.3814	0.3814	|	0.1412	0.2718	0.2718	0.2718	|  Best result at epoch 22
25	0.1105	5.6881	|	0.1793	0.3771	0.3771	0.3771	|	0.1512	0.2718	0.2718	0.2718	|  Best result at epoch 22
26	0.1086	5.7771	|	0.1966	0.3842	0.3842	0.3842	|	0.1288	0.2620	0.2620	0.2620	|  Best result at epoch 22
27	0.1480	5.6511	|	0.1778	0.3630	0.3630	0.3630	|	0.1649	0.2704	0.2704	0.2704	|  Best result at epoch 22
28	0.0777	5.6630	|	0.1929	0.3785	0.3785	0.3785	|	0.1535	0.2746	0.2746	0.2746	|  Best result at epoch 22
29	0.1207	5.6784	|	0.1995	0.3771	0.3771	0.3771	|	0.1672	0.2859	0.2859	0.2859	|  Best result at epoch 22
30	0.0917	6.6257	|	0.1822	0.3799	0.3799	0.3799	|	0.1326	0.2676	0.2676	0.2676	|  Best result at epoch 22
31	0.0713	6.4604	|	0.1856	0.3898	0.3898	0.3898	|	0.1486	0.2704	0.2704	0.2704	|  Best result at epoch 22
32	0.1013	6.2106	|	0.1950	0.3842	0.3842	0.3842	|	0.1475	0.2817	0.2817	0.2817	|  Best result at epoch 22
33	0.0918	6.0084	|	0.2000	0.3814	0.3814	0.3814	|	0.1390	0.2634	0.2634	0.2634	|  Best result at epoch 22
34	0.0681	6.4603	|	0.1873	0.3799	0.3799	0.3799	|	0.1457	0.2859	0.2859	0.2859	|  Best result at epoch 22
35	0.0736	6.1786	|	0.2062	0.3856	0.3856	0.3856	|	0.1447	0.2732	0.2732	0.2732	|  Best result at epoch 22
