epoch	loss	v_loss	|	v_ma_f1	v_mi_f1	v_pre	v_rec	|	t_ma_f1	t_mi_f1	t_pre	t_rec
0	3.0679	3.6521	|	0.0080	0.1638	0.1638	0.1638	|	0.0061	0.1258	0.1258	0.1258	|  Best result at epoch 0
1	2.8361	3.7692	|	0.0059	0.1689	0.1689	0.1689	|	0.0043	0.1272	0.1272	0.1272	|  Best result at epoch 1
2	2.7833	3.8959	|	0.0088	0.1405	0.1405	0.1405	|	0.0080	0.1372	0.1372	0.1372	|  Best result at epoch 2
3	2.7451	3.9313	|	0.0064	0.1295	0.1295	0.1295	|	0.0059	0.1290	0.1290	0.1290	|  Best result at epoch 2
4	2.7201	3.7576	|	0.0093	0.1620	0.1620	0.1620	|	0.0077	0.1345	0.1345	0.1345	|  Best result at epoch 2
5	2.6880	3.7499	|	0.0092	0.1661	0.1661	0.1661	|	0.0073	0.1308	0.1308	0.1308	|  Best result at epoch 2
6	2.6751	3.7754	|	0.0093	0.1643	0.1643	0.1643	|	0.0082	0.1349	0.1349	0.1349	|  Best result at epoch 2
7	2.6614	3.8689	|	0.0102	0.1693	0.1693	0.1693	|	0.0087	0.1336	0.1336	0.1336	|  Best result at epoch 2
8	2.6477	3.7934	|	0.0120	0.1748	0.1748	0.1748	|	0.0091	0.1349	0.1349	0.1349	|  Best result at epoch 2
9	2.6300	3.8603	|	0.0141	0.1519	0.1519	0.1519	|	0.0136	0.1468	0.1468	0.1468	|  Best result at epoch 9
10	2.6257	3.9109	|	0.0146	0.1739	0.1739	0.1739	|	0.0109	0.1432	0.1432	0.1432	|  Best result at epoch 9
11	2.6096	3.8637	|	0.0133	0.1767	0.1767	0.1767	|	0.0108	0.1441	0.1441	0.1441	|  Best result at epoch 9
12	2.6010	3.9014	|	0.0140	0.1442	0.1442	0.1442	|	0.0134	0.1446	0.1446	0.1446	|  Best result at epoch 9
13	2.5995	3.9777	|	0.0136	0.1803	0.1803	0.1803	|	0.0113	0.1505	0.1505	0.1505	|  Best result at epoch 13
14	2.5902	3.8909	|	0.0157	0.1844	0.1844	0.1844	|	0.0130	0.1510	0.1510	0.1510	|  Best result at epoch 14
15	2.5924	3.9129	|	0.0141	0.1693	0.1693	0.1693	|	0.0138	0.1528	0.1528	0.1528	|  Best result at epoch 15
16	2.5810	4.0123	|	0.0138	0.1771	0.1771	0.1771	|	0.0131	0.1542	0.1542	0.1542	|  Best result at epoch 16
17	2.5717	4.0092	|	0.0124	0.1400	0.1400	0.1400	|	0.0129	0.1468	0.1468	0.1468	|  Best result at epoch 16
18	2.5785	3.9797	|	0.0173	0.1863	0.1863	0.1863	|	0.0135	0.1450	0.1450	0.1450	|  Best result at epoch 16
19	2.5611	3.9550	|	0.0156	0.1789	0.1789	0.1789	|	0.0141	0.1496	0.1496	0.1496	|  Best result at epoch 16
20	2.5692	4.0448	|	0.0160	0.1785	0.1785	0.1785	|	0.0155	0.1597	0.1597	0.1597	|  Best result at epoch 20
21	2.5645	3.9669	|	0.0152	0.1744	0.1744	0.1744	|	0.0138	0.1500	0.1500	0.1500	|  Best result at epoch 20
22	2.5665	4.0246	|	0.0150	0.1767	0.1767	0.1767	|	0.0131	0.1473	0.1473	0.1473	|  Best result at epoch 20
23	2.5526	3.9667	|	0.0151	0.1739	0.1739	0.1739	|	0.0135	0.1473	0.1473	0.1473	|  Best result at epoch 20
24	2.5677	3.9621	|	0.0154	0.1739	0.1739	0.1739	|	0.0130	0.1455	0.1455	0.1455	|  Best result at epoch 20
25	2.5527	4.0133	|	0.0178	0.1744	0.1744	0.1744	|	0.0152	0.1496	0.1496	0.1496	|  Best result at epoch 20
26	2.5551	4.0652	|	0.0170	0.1487	0.1487	0.1487	|	0.0139	0.1418	0.1418	0.1418	|  Best result at epoch 20
27	2.5476	4.0626	|	0.0182	0.1725	0.1725	0.1725	|	0.0145	0.1482	0.1482	0.1482	|  Best result at epoch 20
