epoch	loss	v_loss	|	v_ma_f1	v_mi_f1	v_pre	v_rec	|	t_ma_f1	t_mi_f1	t_pre	t_rec
0	2.4164	3.1797	|	0.0510	0.4685	0.4685	0.4685	|	0.0414	0.3673	0.3673	0.3673	|  Best result at epoch 0
1	1.7313	2.6675	|	0.0690	0.5052	0.5052	0.5052	|	0.0598	0.4259	0.4259	0.4259	|  Best result at epoch 1
2	1.5682	2.6421	|	0.0710	0.4952	0.4952	0.4952	|	0.0648	0.4222	0.4222	0.4222	|  Best result at epoch 1
3	1.4311	2.8851	|	0.0738	0.5157	0.5157	0.5157	|	0.0659	0.4458	0.4458	0.4458	|  Best result at epoch 3
4	1.3012	2.7251	|	0.0813	0.5325	0.5325	0.5325	|	0.0723	0.4531	0.4531	0.4531	|  Best result at epoch 4
5	1.2181	2.7157	|	0.0838	0.5225	0.5225	0.5225	|	0.0735	0.4444	0.4444	0.4444	|  Best result at epoch 4
6	1.0920	2.7810	|	0.0804	0.4562	0.4562	0.4562	|	0.0694	0.3891	0.3891	0.3891	|  Best result at epoch 4
7	0.9776	3.1264	|	0.0874	0.5070	0.5070	0.5070	|	0.0768	0.4354	0.4354	0.4354	|  Best result at epoch 4
8	0.8780	3.0527	|	0.0914	0.5238	0.5238	0.5238	|	0.0781	0.4363	0.4363	0.4363	|  Best result at epoch 4
9	0.7832	3.2689	|	0.0939	0.5279	0.5279	0.5279	|	0.0796	0.4426	0.4426	0.4426	|  Best result at epoch 4
10	0.7012	3.0333	|	0.0915	0.5134	0.5134	0.5134	|	0.0792	0.4322	0.4322	0.4322	|  Best result at epoch 4
11	0.6303	3.6001	|	0.0945	0.4784	0.4784	0.4784	|	0.0789	0.4063	0.4063	0.4063	|  Best result at epoch 4
12	0.5774	3.7067	|	0.0920	0.5020	0.5020	0.5020	|	0.0767	0.4227	0.4227	0.4227	|  Best result at epoch 4
13	0.5286	3.5841	|	0.1001	0.5089	0.5089	0.5089	|	0.0815	0.4109	0.4109	0.4109	|  Best result at epoch 4
14	0.5321	3.5888	|	0.0933	0.4934	0.4934	0.4934	|	0.0746	0.4041	0.4041	0.4041	|  Best result at epoch 4
15	0.4815	4.0559	|	0.0990	0.4889	0.4889	0.4889	|	0.0714	0.4045	0.4045	0.4045	|  Best result at epoch 4
16	0.4488	3.9073	|	0.1014	0.5057	0.5057	0.5057	|	0.0731	0.4141	0.4141	0.4141	|  Best result at epoch 4
17	0.4412	3.9869	|	0.0992	0.4916	0.4916	0.4916	|	0.0759	0.4159	0.4159	0.4159	|  Best result at epoch 4
18	0.4251	4.1612	|	0.0973	0.4921	0.4921	0.4921	|	0.0789	0.4104	0.4104	0.4104	|  Best result at epoch 4
19	0.3898	4.3436	|	0.0926	0.5120	0.5120	0.5120	|	0.0778	0.4254	0.4254	0.4254	|  Best result at epoch 4
20	0.4095	4.2608	|	0.1016	0.4911	0.4911	0.4911	|	0.0734	0.4059	0.4059	0.4059	|  Best result at epoch 4
21	0.4070	4.8432	|	0.0874	0.4616	0.4616	0.4616	|	0.0792	0.3787	0.3787	0.3787	|  Best result at epoch 4
22	0.3971	4.6046	|	0.0943	0.4893	0.4893	0.4893	|	0.0776	0.4077	0.4077	0.4077	|  Best result at epoch 4
23	0.3736	4.4781	|	0.0937	0.4970	0.4970	0.4970	|	0.0768	0.4091	0.4091	0.4091	|  Best result at epoch 4
24	0.3700	4.8268	|	0.0943	0.4934	0.4934	0.4934	|	0.0772	0.4077	0.4077	0.4077	|  Best result at epoch 4
25	0.3611	4.7539	|	0.0994	0.4526	0.4526	0.4526	|	0.0788	0.3800	0.3800	0.3800	|  Best result at epoch 4
26	0.3133	4.4536	|	0.1006	0.4675	0.4675	0.4675	|	0.0799	0.3873	0.3873	0.3873	|  Best result at epoch 4
27	0.3399	4.3354	|	0.0941	0.4626	0.4626	0.4626	|	0.0761	0.3741	0.3741	0.3741	|  Best result at epoch 4
28	0.3372	4.5952	|	0.0934	0.4893	0.4893	0.4893	|	0.0762	0.3968	0.3968	0.3968	|  Best result at epoch 4
29	0.3509	4.6498	|	0.0943	0.5079	0.5079	0.5079	|	0.0728	0.4086	0.4086	0.4086	|  Best result at epoch 4
30	0.3381	4.9343	|	0.1016	0.4911	0.4911	0.4911	|	0.0785	0.4127	0.4127	0.4127	|  Best result at epoch 4
31	0.3294	4.7224	|	0.0983	0.4975	0.4975	0.4975	|	0.0762	0.4027	0.4027	0.4027	|  Best result at epoch 4
32	0.3438	4.8668	|	0.0918	0.5061	0.5061	0.5061	|	0.0747	0.4213	0.4213	0.4213	|  Best result at epoch 4
33	0.3395	4.4908	|	0.0973	0.4907	0.4907	0.4907	|	0.0773	0.4091	0.4091	0.4091	|  Best result at epoch 4
34	0.3231	5.1245	|	0.0966	0.5125	0.5125	0.5125	|	0.0838	0.4295	0.4295	0.4295	|  Best result at epoch 4
35	0.3191	5.1143	|	0.0924	0.4948	0.4948	0.4948	|	0.0786	0.4050	0.4050	0.4050	|  Best result at epoch 4
36	0.3148	4.7367	|	0.0960	0.4852	0.4852	0.4852	|	0.0776	0.3968	0.3968	0.3968	|  Best result at epoch 4
37	0.3196	4.9283	|	0.0962	0.4916	0.4916	0.4916	|	0.0780	0.4045	0.4045	0.4045	|  Best result at epoch 4
38	0.3022	5.2060	|	0.0916	0.5102	0.5102	0.5102	|	0.0738	0.4222	0.4222	0.4222	|  Best result at epoch 4
39	0.3015	5.0551	|	0.0938	0.4843	0.4843	0.4843	|	0.0788	0.4086	0.4086	0.4086	|  Best result at epoch 4
40	0.3083	5.1403	|	0.0917	0.4744	0.4744	0.4744	|	0.0779	0.4059	0.4059	0.4059	|  Best result at epoch 4
41	0.3299	4.9058	|	0.0932	0.4816	0.4816	0.4816	|	0.0758	0.4054	0.4054	0.4054	|  Best result at epoch 4
42	0.3258	5.1944	|	0.0909	0.5030	0.5030	0.5030	|	0.0809	0.4190	0.4190	0.4190	|  Best result at epoch 4
43	0.2944	4.8660	|	0.0958	0.4675	0.4675	0.4675	|	0.0797	0.4023	0.4023	0.4023	|  Best result at epoch 4
44	0.3045	5.0774	|	0.0943	0.5007	0.5007	0.5007	|	0.0771	0.4109	0.4109	0.4109	|  Best result at epoch 4
45	0.3032	4.9338	|	0.0908	0.4698	0.4698	0.4698	|	0.0810	0.3946	0.3946	0.3946	|  Best result at epoch 4
46	0.3128	5.2196	|	0.0905	0.4771	0.4771	0.4771	|	0.0780	0.3959	0.3959	0.3959	|  Best result at epoch 4
47	0.3119	5.0251	|	0.0930	0.4921	0.4921	0.4921	|	0.0732	0.4077	0.4077	0.4077	|  Best result at epoch 4
48	0.3189	5.0050	|	0.0943	0.4780	0.4780	0.4780	|	0.0761	0.3968	0.3968	0.3968	|  Best result at epoch 4
49	0.3080	4.9421	|	0.0940	0.4734	0.4734	0.4734	|	0.0728	0.3900	0.3900	0.3900	|  Best result at epoch 4
50	0.3013	4.8512	|	0.0978	0.4739	0.4739	0.4739	|	0.0733	0.3973	0.3973	0.3973	|  Best result at epoch 4
51	0.3074	5.0650	|	0.1020	0.4771	0.4771	0.4771	|	0.0740	0.4009	0.4009	0.4009	|  Best result at epoch 4
52	0.2989	5.1428	|	0.0908	0.4680	0.4680	0.4680	|	0.0727	0.3964	0.3964	0.3964	|  Best result at epoch 4
53	0.3164	5.3636	|	0.0905	0.5020	0.5020	0.5020	|	0.0752	0.4231	0.4231	0.4231	|  Best result at epoch 4
54	0.3088	5.0728	|	0.0959	0.4821	0.4821	0.4821	|	0.0738	0.4005	0.4005	0.4005	|  Best result at epoch 4
55	0.2910	5.1584	|	0.0951	0.4989	0.4989	0.4989	|	0.0767	0.4095	0.4095	0.4095	|  Best result at epoch 4
56	0.2971	5.2893	|	0.0945	0.4712	0.4712	0.4712	|	0.0765	0.3918	0.3918	0.3918	|  Best result at epoch 4
57	0.3057	5.3547	|	0.0920	0.4825	0.4825	0.4825	|	0.0713	0.4023	0.4023	0.4023	|  Best result at epoch 4
58	0.3140	5.2588	|	0.0896	0.4725	0.4725	0.4725	|	0.0741	0.3923	0.3923	0.3923	|  Best result at epoch 4
59	0.3108	5.0853	|	0.0868	0.4803	0.4803	0.4803	|	0.0781	0.4045	0.4045	0.4045	|  Best result at epoch 4
60	0.3461	5.2632	|	0.0883	0.4793	0.4793	0.4793	|	0.0755	0.4059	0.4059	0.4059	|  Best result at epoch 4
61	0.3203	5.3220	|	0.0891	0.4748	0.4748	0.4748	|	0.0784	0.4000	0.4000	0.4000	|  Best result at epoch 4
62	0.3262	5.0319	|	0.0900	0.4580	0.4580	0.4580	|	0.0689	0.3705	0.3705	0.3705	|  Best result at epoch 4
63	0.3110	5.1832	|	0.0936	0.4862	0.4862	0.4862	|	0.0774	0.3923	0.3923	0.3923	|  Best result at epoch 4
64	0.3097	5.1718	|	0.0931	0.4703	0.4703	0.4703	|	0.0725	0.3850	0.3850	0.3850	|  Best result at epoch 4
