epoch	loss	v_loss	|	v_ma_f1	v_mi_f1	v_pre	v_rec	|	t_ma_f1	t_mi_f1	t_pre	t_rec
0	2.6225	2.9940	|	0.0323	0.2910	0.2910	0.2910	|	0.0280	0.2390	0.2390	0.2390	|  Best result at epoch 0
1	2.0424	2.8044	|	0.0532	0.4253	0.4253	0.4253	|	0.0469	0.3492	0.3492	0.3492	|  Best result at epoch 1
2	1.8170	2.7237	|	0.0625	0.4657	0.4657	0.4657	|	0.0521	0.3878	0.3878	0.3878	|  Best result at epoch 2
3	1.6685	2.7075	|	0.0662	0.4889	0.4889	0.4889	|	0.0587	0.4168	0.4168	0.4168	|  Best result at epoch 3
4	1.5614	2.7300	|	0.0684	0.4857	0.4857	0.4857	|	0.0598	0.4141	0.4141	0.4141	|  Best result at epoch 3
5	1.5008	2.8606	|	0.0714	0.4834	0.4834	0.4834	|	0.0619	0.4118	0.4118	0.4118	|  Best result at epoch 3
6	1.4212	2.8604	|	0.0679	0.4598	0.4598	0.4598	|	0.0619	0.4063	0.4063	0.4063	|  Best result at epoch 3
7	1.3581	2.7232	|	0.0709	0.5007	0.5007	0.5007	|	0.0627	0.4290	0.4290	0.4290	|  Best result at epoch 7
8	1.2892	2.9628	|	0.0724	0.4839	0.4839	0.4839	|	0.0622	0.4009	0.4009	0.4009	|  Best result at epoch 7
9	1.2240	3.0300	|	0.0752	0.5216	0.5216	0.5216	|	0.0660	0.4354	0.4354	0.4354	|  Best result at epoch 9
10	1.2014	2.7517	|	0.0757	0.4989	0.4989	0.4989	|	0.0675	0.4263	0.4263	0.4263	|  Best result at epoch 9
11	1.1576	2.9131	|	0.0756	0.5089	0.5089	0.5089	|	0.0664	0.4240	0.4240	0.4240	|  Best result at epoch 9
12	1.1011	2.9254	|	0.0717	0.4880	0.4880	0.4880	|	0.0651	0.4186	0.4186	0.4186	|  Best result at epoch 9
13	1.0721	3.1068	|	0.0720	0.4871	0.4871	0.4871	|	0.0636	0.4186	0.4186	0.4186	|  Best result at epoch 9
14	1.0100	3.4252	|	0.0750	0.5093	0.5093	0.5093	|	0.0684	0.4231	0.4231	0.4231	|  Best result at epoch 9
15	1.0056	3.5577	|	0.0713	0.4548	0.4548	0.4548	|	0.0604	0.4000	0.4000	0.4000	|  Best result at epoch 9
16	0.9544	3.7672	|	0.0724	0.4730	0.4730	0.4730	|	0.0663	0.4073	0.4073	0.4073	|  Best result at epoch 9
17	0.9373	3.7388	|	0.0764	0.5102	0.5102	0.5102	|	0.0661	0.4181	0.4181	0.4181	|  Best result at epoch 9
18	0.8972	3.3988	|	0.0798	0.4970	0.4970	0.4970	|	0.0685	0.4227	0.4227	0.4227	|  Best result at epoch 9
19	0.8795	3.7268	|	0.0700	0.4249	0.4249	0.4249	|	0.0625	0.3751	0.3751	0.3751	|  Best result at epoch 9
20	0.8631	3.6788	|	0.0747	0.4685	0.4685	0.4685	|	0.0657	0.4041	0.4041	0.4041	|  Best result at epoch 9
21	0.8592	4.0296	|	0.0692	0.4035	0.4035	0.4035	|	0.0641	0.3628	0.3628	0.3628	|  Best result at epoch 9
22	0.8269	3.6048	|	0.0788	0.4707	0.4707	0.4707	|	0.0709	0.4018	0.4018	0.4018	|  Best result at epoch 9
23	0.8103	3.6326	|	0.0764	0.4716	0.4716	0.4716	|	0.0675	0.4091	0.4091	0.4091	|  Best result at epoch 9
24	0.7994	3.9862	|	0.0758	0.4621	0.4621	0.4621	|	0.0636	0.4014	0.4014	0.4014	|  Best result at epoch 9
25	0.7870	3.7883	|	0.0801	0.4685	0.4685	0.4685	|	0.0669	0.3982	0.3982	0.3982	|  Best result at epoch 9
26	0.7741	3.8949	|	0.0757	0.4539	0.4539	0.4539	|	0.0640	0.3850	0.3850	0.3850	|  Best result at epoch 9
27	0.7657	4.4691	|	0.0689	0.4362	0.4362	0.4362	|	0.0608	0.3859	0.3859	0.3859	|  Best result at epoch 9
28	0.7307	4.1242	|	0.0774	0.4521	0.4521	0.4521	|	0.0664	0.3982	0.3982	0.3982	|  Best result at epoch 9
29	0.7311	4.4173	|	0.0756	0.4276	0.4276	0.4276	|	0.0644	0.3751	0.3751	0.3751	|  Best result at epoch 9
30	0.7327	4.8935	|	0.0764	0.4453	0.4453	0.4453	|	0.0616	0.3873	0.3873	0.3873	|  Best result at epoch 9
31	0.7496	3.8495	|	0.0830	0.4430	0.4430	0.4430	|	0.0675	0.3782	0.3782	0.3782	|  Best result at epoch 9
