epoch	loss	v_loss	|	v_ma_f1	v_mi_f1	v_pre	v_rec	|	t_ma_f1	t_mi_f1	t_pre	t_rec
46	0.3975	6.3571	|	0.0079	0.0452	0.0452	0.0452	|	0.0021	0.0180	0.0180	0.0180	|  Best result at epoch 0
47	0.4071	7.2990	|	0.0079	0.0452	0.0452	0.0452	|	0.0021	0.0180	0.0180	0.0180	|  Best result at epoch 0
48	0.3931	6.9928	|	0.0079	0.0452	0.0452	0.0452	|	0.0021	0.0180	0.0180	0.0180	|  Best result at epoch 0
49	0.4023	7.1255	|	0.0079	0.0452	0.0452	0.0452	|	0.0021	0.0180	0.0180	0.0180	|  Best result at epoch 0
50	0.3924	7.1055	|	0.0079	0.0452	0.0452	0.0452	|	0.0021	0.0180	0.0180	0.0180	|  Best result at epoch 0
51	0.3895	7.1242	|	0.0079	0.0452	0.0452	0.0452	|	0.0021	0.0180	0.0180	0.0180	|  Best result at epoch 0
52	0.3981	7.0878	|	0.0079	0.0452	0.0452	0.0452	|	0.0021	0.0180	0.0180	0.0180	|  Best result at epoch 0
53	0.3941	7.6448	|	0.0079	0.0452	0.0452	0.0452	|	0.0021	0.0180	0.0180	0.0180	|  Best result at epoch 0
54	0.3990	8.2547	|	0.0079	0.0452	0.0452	0.0452	|	0.0021	0.0180	0.0180	0.0180	|  Best result at epoch 0
55	0.3991	7.6088	|	0.0079	0.0452	0.0452	0.0452	|	0.0021	0.0180	0.0180	0.0180	|  Best result at epoch 0
56	0.3795	6.4250	|	0.0079	0.0452	0.0452	0.0452	|	0.0021	0.0180	0.0180	0.0180	|  Best result at epoch 0
57	0.3741	8.0175	|	0.0079	0.0452	0.0452	0.0452	|	0.0021	0.0180	0.0180	0.0180	|  Best result at epoch 0
58	0.3759	8.6091	|	0.0079	0.0452	0.0452	0.0452	|	0.0021	0.0180	0.0180	0.0180	|  Best result at epoch 0
59	0.3789	6.6838	|	0.0079	0.0452	0.0452	0.0452	|	0.0021	0.0180	0.0180	0.0180	|  Best result at epoch 0
60	0.3882	6.5583	|	0.0079	0.0452	0.0452	0.0452	|	0.0021	0.0180	0.0180	0.0180	|  Best result at epoch 0
61	0.3815	8.4193	|	0.0079	0.0452	0.0452	0.0452	|	0.0021	0.0180	0.0180	0.0180	|  Best result at epoch 0
62	0.3848	9.0432	|	0.0079	0.0452	0.0452	0.0452	|	0.0021	0.0180	0.0180	0.0180	|  Best result at epoch 0
63	0.3773	8.9687	|	0.0079	0.0452	0.0452	0.0452	|	0.0021	0.0180	0.0180	0.0180	|  Best result at epoch 0
