epoch	loss	v_loss	|	v_ma_f1	v_mi_f1	v_pre	v_rec	|	t_ma_f1	t_mi_f1	t_pre	t_rec
0	1.8870	2.2617	|	0.0694	0.2910	0.2910	0.2910	|	0.0542	0.2254	0.2254	0.2254	|  Best result at epoch 0
1	1.6547	2.4728	|	0.0666	0.2740	0.2740	0.2740	|	0.0551	0.2254	0.2254	0.2254	|  Best result at epoch 0
2	1.5311	2.2196	|	0.0694	0.2910	0.2910	0.2910	|	0.0687	0.2338	0.2338	0.2338	|  Best result at epoch 2
3	1.4587	2.3629	|	0.0851	0.2782	0.2782	0.2782	|	0.0792	0.2211	0.2211	0.2211	|  Best result at epoch 2
4	1.3931	2.7041	|	0.1059	0.3333	0.3333	0.3333	|	0.0704	0.2282	0.2282	0.2282	|  Best result at epoch 2
5	1.3071	2.4952	|	0.1082	0.3220	0.3220	0.3220	|	0.0779	0.2380	0.2380	0.2380	|  Best result at epoch 5
6	1.2332	2.3879	|	0.1402	0.3573	0.3573	0.3573	|	0.0895	0.2239	0.2239	0.2239	|  Best result at epoch 5
7	1.1645	2.4955	|	0.1418	0.3333	0.3333	0.3333	|	0.0962	0.2282	0.2282	0.2282	|  Best result at epoch 5
8	1.1317	3.0183	|	0.1426	0.3446	0.3446	0.3446	|	0.0958	0.2380	0.2380	0.2380	|  Best result at epoch 5
9	1.0492	2.7225	|	0.1596	0.3545	0.3545	0.3545	|	0.0915	0.2352	0.2352	0.2352	|  Best result at epoch 5
10	0.9640	3.0745	|	0.1374	0.3489	0.3489	0.3489	|	0.0976	0.2352	0.2352	0.2352	|  Best result at epoch 5
11	0.9312	2.9425	|	0.1415	0.3333	0.3333	0.3333	|	0.0990	0.2113	0.2113	0.2113	|  Best result at epoch 5
12	0.8623	2.9304	|	0.1694	0.3757	0.3757	0.3757	|	0.1173	0.2592	0.2592	0.2592	|  Best result at epoch 12
13	0.8372	2.7613	|	0.1717	0.3630	0.3630	0.3630	|	0.1267	0.2577	0.2577	0.2577	|  Best result at epoch 12
14	0.7241	3.2438	|	0.1672	0.3743	0.3743	0.3743	|	0.1173	0.2465	0.2465	0.2465	|  Best result at epoch 12
15	0.7207	3.4271	|	0.1403	0.3178	0.3178	0.3178	|	0.0999	0.2268	0.2268	0.2268	|  Best result at epoch 12
