epoch	loss	v_loss	|	v_ma_f1	v_mi_f1	v_pre	v_rec	|	t_ma_f1	t_mi_f1	t_pre	t_rec
0	3.1053	3.0956	|	0.0137	0.1048	0.1048	0.1048	|	0.0122	0.0885	0.0885	0.0885	|  Best result at epoch 0
1	2.7679	3.0501	|	0.0273	0.1736	0.1736	0.1736	|	0.0213	0.1273	0.1273	0.1273	|  Best result at epoch 1
2	2.6360	3.0070	|	0.0325	0.1889	0.1889	0.1889	|	0.0263	0.1450	0.1450	0.1450	|  Best result at epoch 2
3	2.5660	2.9811	|	0.0388	0.2012	0.2012	0.2012	|	0.0305	0.1568	0.1568	0.1568	|  Best result at epoch 3
4	2.5204	3.0155	|	0.0416	0.2164	0.2164	0.2164	|	0.0315	0.1622	0.1622	0.1622	|  Best result at epoch 4
5	2.4976	3.0552	|	0.0384	0.1958	0.1958	0.1958	|	0.0315	0.1651	0.1651	0.1651	|  Best result at epoch 5
6	2.4764	2.9841	|	0.0494	0.2371	0.2371	0.2371	|	0.0405	0.1941	0.1941	0.1941	|  Best result at epoch 6
7	2.4695	3.0050	|	0.0459	0.2174	0.2174	0.2174	|	0.0382	0.1902	0.1902	0.1902	|  Best result at epoch 6
8	2.4544	3.0614	|	0.0445	0.2341	0.2341	0.2341	|	0.0368	0.1887	0.1887	0.1887	|  Best result at epoch 6
9	2.4365	3.0459	|	0.0486	0.2386	0.2386	0.2386	|	0.0445	0.2084	0.2084	0.2084	|  Best result at epoch 9
10	2.4220	3.0313	|	0.0488	0.2238	0.2238	0.2238	|	0.0433	0.2029	0.2029	0.2029	|  Best result at epoch 9
11	2.4009	3.0685	|	0.0517	0.2430	0.2430	0.2430	|	0.0443	0.2079	0.2079	0.2079	|  Best result at epoch 9
12	2.4014	3.0203	|	0.0560	0.2405	0.2405	0.2405	|	0.0506	0.2172	0.2172	0.2172	|  Best result at epoch 12
13	2.4078	3.0447	|	0.0532	0.2312	0.2312	0.2312	|	0.0560	0.2270	0.2270	0.2270	|  Best result at epoch 13
14	2.3856	3.0722	|	0.0532	0.2450	0.2450	0.2450	|	0.0483	0.2197	0.2197	0.2197	|  Best result at epoch 13
15	2.3837	3.0901	|	0.0556	0.2425	0.2425	0.2425	|	0.0569	0.2359	0.2359	0.2359	|  Best result at epoch 15
16	2.3961	3.0704	|	0.0573	0.2420	0.2420	0.2420	|	0.0619	0.2403	0.2403	0.2403	|  Best result at epoch 16
17	2.3817	3.0948	|	0.0522	0.2351	0.2351	0.2351	|	0.0548	0.2314	0.2314	0.2314	|  Best result at epoch 16
18	2.3718	3.0982	|	0.0580	0.2327	0.2327	0.2327	|	0.0583	0.2364	0.2364	0.2364	|  Best result at epoch 16
19	2.3606	3.1226	|	0.0548	0.2410	0.2410	0.2410	|	0.0577	0.2383	0.2383	0.2383	|  Best result at epoch 16
20	2.3627	3.1576	|	0.0509	0.2410	0.2410	0.2410	|	0.0519	0.2329	0.2329	0.2329	|  Best result at epoch 16
