epoch	loss	v_loss	|	v_ma_f1	v_mi_f1	v_pre	v_rec	|	t_ma_f1	t_mi_f1	t_pre	t_rec
0	3.1004	4.2059	|	0.0142	0.0716	0.0716	0.0716	|	0.0079	0.0550	0.0550	0.0550	|  Best result at epoch 0
1	2.6928	3.6336	|	0.0481	0.2320	0.2320	0.2320	|	0.0313	0.0966	0.0966	0.0966	|  Best result at epoch 1
2	2.4723	3.8960	|	0.0622	0.2416	0.2416	0.2416	|	0.0363	0.1179	0.1179	0.1179	|  Best result at epoch 2
3	2.2887	4.3291	|	0.0584	0.2015	0.2015	0.2015	|	0.0375	0.0870	0.0870	0.0870	|  Best result at epoch 2
4	2.1370	4.3155	|	0.0808	0.2218	0.2218	0.2218	|	0.0586	0.0955	0.0955	0.0955	|  Best result at epoch 2
5	1.9795	4.5890	|	0.0819	0.2149	0.2149	0.2149	|	0.0614	0.0982	0.0982	0.0982	|  Best result at epoch 2
6	1.8421	4.8603	|	0.0804	0.2004	0.2004	0.2004	|	0.0668	0.0923	0.0923	0.0923	|  Best result at epoch 2
7	1.6840	5.0236	|	0.0839	0.1924	0.1924	0.1924	|	0.0626	0.1003	0.1003	0.1003	|  Best result at epoch 2
8	1.5831	5.1544	|	0.0846	0.2245	0.2245	0.2245	|	0.0688	0.1110	0.1110	0.1110	|  Best result at epoch 2
9	1.4517	5.0491	|	0.0857	0.2175	0.2175	0.2175	|	0.0657	0.1142	0.1142	0.1142	|  Best result at epoch 2
10	1.3520	5.4176	|	0.0965	0.2250	0.2250	0.2250	|	0.0654	0.1190	0.1190	0.1190	|  Best result at epoch 10
11	1.2554	5.7278	|	0.0992	0.2480	0.2480	0.2480	|	0.0698	0.1313	0.1313	0.1313	|  Best result at epoch 11
12	1.1543	5.5478	|	0.0936	0.2437	0.2437	0.2437	|	0.0623	0.1057	0.1057	0.1057	|  Best result at epoch 11
13	1.0584	5.9266	|	0.0888	0.2133	0.2133	0.2133	|	0.0663	0.1046	0.1046	0.1046	|  Best result at epoch 11
14	1.0177	6.3069	|	0.0852	0.2149	0.2149	0.2149	|	0.0651	0.1083	0.1083	0.1083	|  Best result at epoch 11
