epoch	loss	v_loss	|	v_ma_f1	v_mi_f1	v_pre	v_rec	|	t_ma_f1	t_mi_f1	t_pre	t_rec
0	3.2183	3.5314	|	0.0085	0.1364	0.1364	0.1364	|	0.0054	0.1319	0.1319	0.1319	|  Best result at epoch 0
1	2.9680	3.5041	|	0.0264	0.1951	0.1951	0.1951	|	0.0191	0.1738	0.1738	0.1738	|  Best result at epoch 1
2	2.8562	3.6831	|	0.0425	0.2167	0.2167	0.2167	|	0.0305	0.1799	0.1799	0.1799	|  Best result at epoch 2
3	2.7722	3.7125	|	0.0465	0.2222	0.2222	0.2222	|	0.0308	0.1855	0.1855	0.1855	|  Best result at epoch 3
4	2.6854	3.9175	|	0.0446	0.2235	0.2235	0.2235	|	0.0345	0.2058	0.2058	0.2058	|  Best result at epoch 4
5	2.5962	3.8481	|	0.0427	0.2346	0.2346	0.2346	|	0.0349	0.2163	0.2163	0.2163	|  Best result at epoch 5
6	2.5366	3.9654	|	0.0447	0.2235	0.2235	0.2235	|	0.0344	0.2126	0.2126	0.2126	|  Best result at epoch 5
7	2.4731	3.9501	|	0.0453	0.2377	0.2377	0.2377	|	0.0325	0.2157	0.2157	0.2157	|  Best result at epoch 5
8	2.3848	4.0410	|	0.0456	0.2358	0.2358	0.2358	|	0.0379	0.2206	0.2206	0.2206	|  Best result at epoch 8
9	2.3369	4.1607	|	0.0470	0.2364	0.2364	0.2364	|	0.0350	0.2150	0.2150	0.2150	|  Best result at epoch 8
10	2.2653	4.2019	|	0.0480	0.2315	0.2315	0.2315	|	0.0364	0.2039	0.2039	0.2039	|  Best result at epoch 8
11	2.2046	4.2335	|	0.0481	0.2340	0.2340	0.2340	|	0.0338	0.2113	0.2113	0.2113	|  Best result at epoch 8
12	2.1520	4.2744	|	0.0476	0.2352	0.2352	0.2352	|	0.0368	0.2150	0.2150	0.2150	|  Best result at epoch 8
13	2.0862	4.3209	|	0.0497	0.2210	0.2210	0.2210	|	0.0373	0.2015	0.2015	0.2015	|  Best result at epoch 8
14	2.0245	4.3337	|	0.0543	0.2272	0.2272	0.2272	|	0.0363	0.1972	0.1972	0.1972	|  Best result at epoch 8
15	1.9746	4.4560	|	0.0552	0.2290	0.2290	0.2290	|	0.0372	0.2064	0.2064	0.2064	|  Best result at epoch 8
16	1.9352	4.6137	|	0.0495	0.2265	0.2265	0.2265	|	0.0354	0.2033	0.2033	0.2033	|  Best result at epoch 8
17	1.9120	4.7205	|	0.0517	0.2210	0.2210	0.2210	|	0.0369	0.2101	0.2101	0.2101	|  Best result at epoch 8
18	1.8656	4.6019	|	0.0487	0.2173	0.2173	0.2173	|	0.0360	0.2002	0.2002	0.2002	|  Best result at epoch 8
19	1.8308	4.8818	|	0.0524	0.2315	0.2315	0.2315	|	0.0379	0.2083	0.2083	0.2083	|  Best result at epoch 8
20	1.7844	4.7021	|	0.0544	0.2222	0.2222	0.2222	|	0.0382	0.1947	0.1947	0.1947	|  Best result at epoch 8
21	1.7459	5.1014	|	0.0501	0.2204	0.2204	0.2204	|	0.0346	0.1929	0.1929	0.1929	|  Best result at epoch 8
22	1.7374	4.8491	|	0.0552	0.2315	0.2315	0.2315	|	0.0354	0.1984	0.1984	0.1984	|  Best result at epoch 8
23	1.6987	4.9170	|	0.0540	0.2204	0.2204	0.2204	|	0.0352	0.1885	0.1885	0.1885	|  Best result at epoch 8
24	1.6389	5.4397	|	0.0527	0.2173	0.2173	0.2173	|	0.0356	0.1885	0.1885	0.1885	|  Best result at epoch 8
25	1.6358	5.3099	|	0.0527	0.2296	0.2296	0.2296	|	0.0391	0.1941	0.1941	0.1941	|  Best result at epoch 8
26	1.6360	5.4196	|	0.0536	0.2136	0.2136	0.2136	|	0.0363	0.1873	0.1873	0.1873	|  Best result at epoch 8
27	1.6165	5.3360	|	0.0559	0.2228	0.2228	0.2228	|	0.0373	0.1892	0.1892	0.1892	|  Best result at epoch 8
28	1.5984	5.3801	|	0.0518	0.2130	0.2130	0.2130	|	0.0370	0.1787	0.1787	0.1787	|  Best result at epoch 8
29	1.5804	5.5251	|	0.0580	0.2241	0.2241	0.2241	|	0.0374	0.1885	0.1885	0.1885	|  Best result at epoch 8
30	1.5618	5.6889	|	0.0525	0.2179	0.2179	0.2179	|	0.0424	0.2009	0.2009	0.2009	|  Best result at epoch 8
31	1.5215	5.4943	|	0.0525	0.2117	0.2117	0.2117	|	0.0356	0.1799	0.1799	0.1799	|  Best result at epoch 8
32	1.5188	5.8403	|	0.0578	0.2185	0.2185	0.2185	|	0.0363	0.1774	0.1774	0.1774	|  Best result at epoch 8
33	1.4863	5.6875	|	0.0538	0.2080	0.2080	0.2080	|	0.0360	0.1701	0.1701	0.1701	|  Best result at epoch 8
34	1.4835	5.8274	|	0.0547	0.2086	0.2086	0.2086	|	0.0393	0.1750	0.1750	0.1750	|  Best result at epoch 8
