epoch	loss	v_loss	|	v_ma_f1	v_mi_f1	v_pre	v_rec	|	t_ma_f1	t_mi_f1	t_pre	t_rec
0	2.8428	3.9480	|	0.0196	0.1840	0.1840	0.1840	|	0.0180	0.1523	0.1523	0.1523	|  Best result at epoch 0
1	2.4984	4.1463	|	0.0214	0.1442	0.1442	0.1442	|	0.0159	0.1473	0.1473	0.1473	|  Best result at epoch 0
2	2.3721	3.7374	|	0.0304	0.1698	0.1698	0.1698	|	0.0207	0.1647	0.1647	0.1647	|  Best result at epoch 2
3	2.2603	4.0049	|	0.0295	0.1986	0.1986	0.1986	|	0.0217	0.1661	0.1661	0.1661	|  Best result at epoch 3
4	2.1481	4.3836	|	0.0318	0.2046	0.2046	0.2046	|	0.0209	0.1665	0.1665	0.1665	|  Best result at epoch 4
5	2.0446	4.3065	|	0.0277	0.1918	0.1918	0.1918	|	0.0211	0.1697	0.1697	0.1697	|  Best result at epoch 5
6	1.9463	4.0995	|	0.0309	0.1794	0.1794	0.1794	|	0.0222	0.1738	0.1738	0.1738	|  Best result at epoch 6
7	1.8498	4.4851	|	0.0380	0.2110	0.2110	0.2110	|	0.0245	0.1619	0.1619	0.1619	|  Best result at epoch 6
8	1.7466	5.1857	|	0.0366	0.1849	0.1849	0.1849	|	0.0227	0.1528	0.1528	0.1528	|  Best result at epoch 6
9	1.6424	5.2180	|	0.0566	0.2188	0.2188	0.2188	|	0.0384	0.1697	0.1697	0.1697	|  Best result at epoch 6
10	1.5874	5.6655	|	0.0536	0.1991	0.1991	0.1991	|	0.0364	0.1587	0.1587	0.1587	|  Best result at epoch 6
11	1.5257	5.7301	|	0.0573	0.2105	0.2105	0.2105	|	0.0367	0.1642	0.1642	0.1642	|  Best result at epoch 6
12	1.4264	5.6138	|	0.0592	0.1863	0.1863	0.1863	|	0.0408	0.1555	0.1555	0.1555	|  Best result at epoch 6
13	1.3735	5.9864	|	0.0619	0.1922	0.1922	0.1922	|	0.0439	0.1510	0.1510	0.1510	|  Best result at epoch 6
14	1.3100	6.0106	|	0.0680	0.1895	0.1895	0.1895	|	0.0385	0.1542	0.1542	0.1542	|  Best result at epoch 6
15	1.2458	6.7148	|	0.0579	0.1973	0.1973	0.1973	|	0.0387	0.1532	0.1532	0.1532	|  Best result at epoch 6
16	1.2279	6.3624	|	0.0652	0.1849	0.1849	0.1849	|	0.0415	0.1404	0.1404	0.1404	|  Best result at epoch 6
17	1.1908	6.5610	|	0.0755	0.1863	0.1863	0.1863	|	0.0392	0.1455	0.1455	0.1455	|  Best result at epoch 6
18	1.1515	7.0474	|	0.0593	0.1895	0.1895	0.1895	|	0.0364	0.1532	0.1532	0.1532	|  Best result at epoch 6
19	1.1223	7.5736	|	0.0430	0.1895	0.1895	0.1895	|	0.0227	0.1491	0.1491	0.1491	|  Best result at epoch 6
20	1.1026	7.3254	|	0.0685	0.1908	0.1908	0.1908	|	0.0387	0.1505	0.1505	0.1505	|  Best result at epoch 6
21	1.0718	7.3938	|	0.0716	0.2037	0.2037	0.2037	|	0.0407	0.1496	0.1496	0.1496	|  Best result at epoch 6
22	1.0451	7.6446	|	0.0736	0.2037	0.2037	0.2037	|	0.0449	0.1560	0.1560	0.1560	|  Best result at epoch 6
23	1.0641	7.6826	|	0.0572	0.1945	0.1945	0.1945	|	0.0232	0.1414	0.1414	0.1414	|  Best result at epoch 6
24	1.0409	7.9676	|	0.0731	0.2009	0.2009	0.2009	|	0.0407	0.1487	0.1487	0.1487	|  Best result at epoch 6
25	1.0104	7.0435	|	0.0800	0.1927	0.1927	0.1927	|	0.0478	0.1359	0.1359	0.1359	|  Best result at epoch 6
26	0.9963	7.8178	|	0.0683	0.1895	0.1895	0.1895	|	0.0479	0.1528	0.1528	0.1528	|  Best result at epoch 6
27	0.9997	7.7342	|	0.0686	0.1876	0.1876	0.1876	|	0.0431	0.1500	0.1500	0.1500	|  Best result at epoch 6
28	0.9657	8.2056	|	0.0663	0.2000	0.2000	0.2000	|	0.0389	0.1487	0.1487	0.1487	|  Best result at epoch 6
29	0.9766	8.4581	|	0.0610	0.1840	0.1840	0.1840	|	0.0414	0.1391	0.1391	0.1391	|  Best result at epoch 6
30	0.9814	7.9083	|	0.0719	0.1831	0.1831	0.1831	|	0.0371	0.1395	0.1395	0.1395	|  Best result at epoch 6
31	0.9538	8.0684	|	0.0644	0.1757	0.1757	0.1757	|	0.0397	0.1317	0.1317	0.1317	|  Best result at epoch 6
32	0.9469	7.6229	|	0.0692	0.1735	0.1735	0.1735	|	0.0436	0.1345	0.1345	0.1345	|  Best result at epoch 6
33	0.9342	7.9867	|	0.0664	0.1858	0.1858	0.1858	|	0.0406	0.1382	0.1382	0.1382	|  Best result at epoch 6
34	0.9382	8.3762	|	0.0635	0.1895	0.1895	0.1895	|	0.0406	0.1354	0.1354	0.1354	|  Best result at epoch 6
35	0.9314	8.0983	|	0.0611	0.1844	0.1844	0.1844	|	0.0425	0.1441	0.1441	0.1441	|  Best result at epoch 6
36	0.9217	8.1703	|	0.0623	0.1918	0.1918	0.1918	|	0.0392	0.1505	0.1505	0.1505	|  Best result at epoch 6
37	0.9394	7.8562	|	0.0657	0.1849	0.1849	0.1849	|	0.0408	0.1327	0.1327	0.1327	|  Best result at epoch 6
38	0.9107	8.0924	|	0.0639	0.1776	0.1776	0.1776	|	0.0415	0.1349	0.1349	0.1349	|  Best result at epoch 6
39	0.9067	8.2893	|	0.0685	0.1849	0.1849	0.1849	|	0.0398	0.1386	0.1386	0.1386	|  Best result at epoch 6
40	0.8870	8.4931	|	0.0687	0.1895	0.1895	0.1895	|	0.0448	0.1459	0.1459	0.1459	|  Best result at epoch 6
41	0.9129	8.0755	|	0.0647	0.1739	0.1739	0.1739	|	0.0390	0.1267	0.1267	0.1267	|  Best result at epoch 6
42	0.8943	8.4065	|	0.0672	0.1762	0.1762	0.1762	|	0.0378	0.1386	0.1386	0.1386	|  Best result at epoch 6
43	0.9405	8.1842	|	0.0714	0.1776	0.1776	0.1776	|	0.0427	0.1327	0.1327	0.1327	|  Best result at epoch 6
44	0.8933	8.3159	|	0.0698	0.1840	0.1840	0.1840	|	0.0407	0.1391	0.1391	0.1391	|  Best result at epoch 6
45	0.9014	8.1674	|	0.0653	0.1757	0.1757	0.1757	|	0.0434	0.1395	0.1395	0.1395	|  Best result at epoch 6
46	0.9041	8.3263	|	0.0641	0.1730	0.1730	0.1730	|	0.0434	0.1455	0.1455	0.1455	|  Best result at epoch 6
