epoch	loss	v_loss	|	v_ma_f1	v_mi_f1	v_pre	v_rec	|	t_ma_f1	t_mi_f1	t_pre	t_rec
0	2.6474	2.7098	|	0.0670	0.2016	0.2016	0.2016	|	0.0573	0.2084	0.2084	0.2084	|  Best result at epoch 0
1	2.3226	2.6898	|	0.0859	0.2366	0.2366	0.2366	|	0.0769	0.2433	0.2433	0.2433	|  Best result at epoch 1
2	2.1397	2.6924	|	0.0969	0.2642	0.2642	0.2642	|	0.0793	0.2352	0.2352	0.2352	|  Best result at epoch 1
3	2.0234	2.7770	|	0.1004	0.2602	0.2602	0.2602	|	0.0944	0.2514	0.2514	0.2514	|  Best result at epoch 3
4	1.9294	2.7798	|	0.1008	0.2593	0.2593	0.2593	|	0.0929	0.2685	0.2685	0.2685	|  Best result at epoch 4
5	1.8432	2.9162	|	0.1066	0.2740	0.2740	0.2740	|	0.0961	0.2741	0.2741	0.2741	|  Best result at epoch 5
6	1.7913	2.8647	|	0.0953	0.2415	0.2415	0.2415	|	0.0925	0.2628	0.2628	0.2628	|  Best result at epoch 5
7	1.6981	2.9401	|	0.1122	0.2805	0.2805	0.2805	|	0.1003	0.2709	0.2709	0.2709	|  Best result at epoch 5
8	1.6423	2.8660	|	0.1044	0.2577	0.2577	0.2577	|	0.1012	0.2717	0.2717	0.2717	|  Best result at epoch 5
9	1.5925	2.9877	|	0.1091	0.2821	0.2821	0.2821	|	0.1001	0.2758	0.2758	0.2758	|  Best result at epoch 9
10	1.5050	3.2418	|	0.1083	0.2675	0.2675	0.2675	|	0.1051	0.2798	0.2798	0.2798	|  Best result at epoch 10
11	1.4839	3.1126	|	0.1136	0.2634	0.2634	0.2634	|	0.0995	0.2579	0.2579	0.2579	|  Best result at epoch 10
12	1.4319	3.1849	|	0.1008	0.2707	0.2707	0.2707	|	0.1048	0.2709	0.2709	0.2709	|  Best result at epoch 10
13	1.3650	3.2483	|	0.1040	0.2626	0.2626	0.2626	|	0.0958	0.2612	0.2612	0.2612	|  Best result at epoch 10
14	1.3270	3.4087	|	0.1078	0.2659	0.2659	0.2659	|	0.1012	0.2701	0.2701	0.2701	|  Best result at epoch 10
15	1.2948	3.3317	|	0.1124	0.2577	0.2577	0.2577	|	0.0951	0.2539	0.2539	0.2539	|  Best result at epoch 10
16	1.2343	3.5364	|	0.1054	0.2602	0.2602	0.2602	|	0.1079	0.2847	0.2847	0.2847	|  Best result at epoch 16
17	1.2038	3.6973	|	0.0993	0.2610	0.2610	0.2610	|	0.1037	0.2798	0.2798	0.2798	|  Best result at epoch 16
18	1.1852	3.4696	|	0.1051	0.2520	0.2520	0.2520	|	0.0990	0.2660	0.2660	0.2660	|  Best result at epoch 16
19	1.1258	3.7721	|	0.1060	0.2415	0.2415	0.2415	|	0.1045	0.2652	0.2652	0.2652	|  Best result at epoch 16
20	1.0769	3.5901	|	0.1166	0.2821	0.2821	0.2821	|	0.1038	0.2652	0.2652	0.2652	|  Best result at epoch 16
21	1.0772	3.8263	|	0.1053	0.2382	0.2382	0.2382	|	0.1013	0.2612	0.2612	0.2612	|  Best result at epoch 16
22	1.0557	3.8012	|	0.1125	0.2691	0.2691	0.2691	|	0.1019	0.2733	0.2733	0.2733	|  Best result at epoch 16
23	1.0019	4.0112	|	0.1142	0.2707	0.2707	0.2707	|	0.1034	0.2701	0.2701	0.2701	|  Best result at epoch 16
24	0.9711	3.9536	|	0.1110	0.2667	0.2667	0.2667	|	0.0987	0.2539	0.2539	0.2539	|  Best result at epoch 16
25	0.9719	3.8129	|	0.1167	0.2537	0.2537	0.2537	|	0.1069	0.2741	0.2741	0.2741	|  Best result at epoch 16
26	0.9519	4.1470	|	0.1162	0.2732	0.2732	0.2732	|	0.0994	0.2563	0.2563	0.2563	|  Best result at epoch 16
27	0.9089	4.2121	|	0.1101	0.2675	0.2675	0.2675	|	0.1068	0.2749	0.2749	0.2749	|  Best result at epoch 16
28	0.9083	4.2332	|	0.1087	0.2610	0.2610	0.2610	|	0.0995	0.2587	0.2587	0.2587	|  Best result at epoch 16
29	0.8838	4.2816	|	0.1105	0.2447	0.2447	0.2447	|	0.0999	0.2603	0.2603	0.2603	|  Best result at epoch 16
30	0.8695	4.3392	|	0.1077	0.2593	0.2593	0.2593	|	0.1083	0.2717	0.2717	0.2717	|  Best result at epoch 16
31	0.8132	4.6524	|	0.1104	0.2626	0.2626	0.2626	|	0.0977	0.2587	0.2587	0.2587	|  Best result at epoch 16
32	0.8396	4.3755	|	0.1119	0.2545	0.2545	0.2545	|	0.0977	0.2530	0.2530	0.2530	|  Best result at epoch 16
33	0.7946	4.6196	|	0.1123	0.2610	0.2610	0.2610	|	0.1019	0.2522	0.2522	0.2522	|  Best result at epoch 16
